test_id,text_length,pattern_length,comparisons,wall_clock_time,cpu_time,optimization,product
0,10,10,10,0,9.8e-07,O2,100
1,20,5,80,0,7.73e-07,O2,100
2,50,2,98,0,8.01e-07,O2,100
3,100,1,100,0,8.61e-07,O2,100
4,100,100,100,0,7.54e-07,O2,10000
5,200,50,7550,0,2.4908e-05,O2,10000
6,500,20,9620,0,9.653e-06,O2,10000
7,1000,10,9910,0,9.73e-06,O2,10000
8,1000,1000,1000,0,1.569e-06,O2,1000000
9,1600,625,610000,0,0.000596656,O2,1000000
10,4000,250,937750,0,0.000882973,O2,1000000
11,1000000,1,1000000,0,0.001048764,O2,1000000
12,10000,10000,10000,0,9.929e-06,O2,100000000
13,15625,6400,59046400,0,0.054980311,O2,100000000
14,80000,1250,98438750,0,0.092458643,O2,100000000
15,1000000,100,99990100,0,0.099573991,O2,100000000
16,100000,100000,100000,0,9.2035e-05,O2,10000000000
17,128000,78125,3896562500,3,3.579819596,O2,10000000000
18,250000,40000,8400040000,7,7.720816317,O2,10000000000
19,1000000,10000,9900010000,9,9.098458295,O2,10000000000
0,10,10,10,0,1.082e-06,O0,100
1,20,5,80,0,8.85e-07,O0,100
2,50,2,98,0,8.33e-07,O0,100
3,100,1,100,0,9.46e-07,O0,100
4,100,100,100,0,8.89e-07,O0,10000
5,200,50,7550,0,2.4378e-05,O0,10000
6,500,20,9620,0,3.3201e-05,O0,10000
7,1000,10,9910,0,2.9413e-05,O0,10000
8,1000,1000,1000,0,3.484e-06,O0,1000000
9,1600,625,610000,0,0.001778773,O0,1000000
10,4000,250,937750,0,0.002795804,O0,1000000
11,1000000,1,1000000,0,0.003045571,O0,1000000
12,10000,10000,10000,0,3.1585e-05,O0,100000000
13,15625,6400,59046400,0,0.170623837,O0,100000000
14,80000,1250,98438750,0,0.285868202,O0,100000000
15,1000000,100,99990100,0,0.304021419,O0,100000000
16,100000,100000,100000,0,0.000296845,O0,10000000000
17,128000,78125,3896562500,11,11.333731421,O0,10000000000
18,250000,40000,8400040000,24,24.430304599,O0,10000000000
19,1000000,10000,9900010000,28,28.606990645,O0,10000000000
